STOPCODE,stop_name,total_boardings,n_route_dir_qhr_rows
11244,SHORROLDS ROAD,263.1471,182
11245,SHERBROOKE ROAD,333.36216,187
11246,SHERBROOKE ROAD,349.82545,182
11247,HANNELL ROAD,129.89201,186
11248,MUNSTER ROAD,237.40395,181
11249,MUNSTER ROAD / FULHAM CROSS,549.20161,228
11251,LILLIE ROAD,839.1411400000001,169
11252,LILLIE ROAD,192.62004,174
11253,WEST KENSINGTON ESTATE,223.30863,75
11254,WEST KENSINGTON ESTATE,168.62283,174
11255,WEST KENSINGTON STATION,362.42469,166
11256,WEST KENSINGTON STATION,464.54141,173
11258,LYTTON ESTATE,180.81608,173
11259,LYTTON ESTATE,214.00677,164
11262,KENSINGTON OLYMPIA,361.72798,172
11263,RUMBOLD ROAD,346.45604000000003,192
11264,RUMBOLD ROAD,49.0126,188
11265,WANDSWORTH BRIDGE ROAD,148.31337,98
11266,WANDSWORTH BRIDGE ROAD,131.03854,96
11267,IRENE ROAD,146.59064,98
11268,IRENE ROAD,52.79084,96
11269,PARSONS GREEN,339.96329000000003,98
11271,MUNSTER ROAD,160.67922,144
11272,MUNSTER ROAD,51.193349999999995,141
11276,NEW KINGS ROAD,115.17726,191
11277,NEW KING'S ROAD,116.41537,189
11279,OAKBURY ROAD,86.61978,186
11283,ROYAL HOSPITAL CHELSEA / LOWER SLOANE ST,11.03858,81
11286,NATIONAL ARMY MUSEUM,115.44167,81
11287,NATIONAL ARMY MUSEUM,67.01073,84
11288,ALBERT BRIDGE / CADOGAN PIER,82.41485,81
11289,ALBERT BRIDGE / CADOGAN PIER,28.102169999999997,84
1129,SPA ROAD,510.31871,176
11290,BEAUFORT STREET,51.0128,84
11291,DUKE OF YORK SQUARE,469.33642,443
11292,MARKHAM STREET,993.20161,435
11293,CHELSEA OLD TOWN HALL,597.35211,436
11294,CARLYLE SQUARE,820.0465,448
11295,CARLYLE SQUARE,869.67772,443
11296,HOBURY STREET / WORLDS END,578.82632,274
11297,EDITH GROVE / WORLDS END,707.45347,278
11298,CHEYNE WALK,265.41749,363
113,WEST HAMPSTEAD STN / BROADHURST GDNS,522.87556,254
1130,SPA ROAD,224.19666999999998,177
11300,CHEYNE WALK,271.09104,367
11306,ROYAL BROMPTON HOSP / ROYAL MARSDEN HOSP,641.45284,338
11307,CHELSEA AND WESTMINSTER HOSPITAL,1013.33956,248
11309,HORTENSIA ROAD,478.03698,249
11311,EDITH GROVE / KING'S ROAD,71.91392,161
11312,CALE STREET / ROYAL BROMPTON HOSPITAL,318.99559,157
11313,CALE STREET / ROYAL BROMPTON HOSPITAL,179.4267,157
11321,ALPHA CLOSE,196.96073,268
11325,CHELSEA PHYSIC GARDEN,111.28647,81
11326,CHELSEA PHYSIC GARDEN,56.81796,84
11328,WEDMORE STREET,493.31755,291
11329,LORD AVENUE,548.73654,176
11330,WOODFORD BRIDGE ROAD,208.43256,174
11331,HAYES / GEORGE LANE,54.39938,127
11332,HAYES / THE GEORGE,134.89491,129
11333,ABINGER ROAD,294.87444,166
11334,ABINGER ROAD,39.26507,163
11337,TURNHAM GREEN STATION,893.45177,165
11338,TURNHAM GREEN STATION,89.14178,163
11339,FLANCHFORD ROAD,205.35219,96
11340,FLANCHFORD ROAD,43.15403,96
11345,THE ORCHARD,53.702169999999995,164
11346,RAMILLIES ROAD,0.21844,96
11349,ACTON GREEN,0.0,96
1135,STATION ROAD / CHINGFORD STATION,773.1,535
11350,LANGLEY AVENUE,141.68156,285
11351,LANGLEY AVENUE,78.50125,283
11352,RUISLIP LIDO,20.910249999999998,72
11356,ST ANTHONY'S HOSPITAL,278.51259,162
11357,TUDOR DRIVE,450.55647,177
11363,CHENIES PLACE,626.02541,172
11366,CHENIES PLACE,122.49325,253
11373,ROYAL COLLEGE STREET,542.0586500000001,253
11379,PRATT STREET,13.97064,76
11383,CAMDEN ROAD STATION,140.46177,156
